,KNN,SoftImpute,iterative,mean,median,random
0.1,1.6194801857572876,1.5556658876945915,1.3711753607618822,1.2206744450998939,1.2667667493093275,2.3888139370463795
0.2,1.4760728372603285,1.7151272341481143,1.804816890284954,1.3272596060780788,1.4060552111212747,2.3077325896905703
0.3,1.4118101045196088,1.5261586405331469,1.8613362685918644,1.3363575731924378,1.4778732750666255,2.026824517215157
0.4,1.1748429574457777,1.4042036895114056,1.945206272381293,1.0596291231308623,1.1057332762626237,2.008836810630396
0.5,1.379603177371999,1.7711500391753738,1.7416933884563313,1.2132679973857263,1.2286301704651614,2.0548496295100462
